id,Date,mood,arousal,valence,activity,screentime..s.,other..s.,travel..s.,buu,coso,enga,fiof,teca
AS14.02,2014-03-16,,,,,,,,,,,,
AS14.05,2014-03-16,,,,,,,,,,,,
AS14.08,2014-03-16,,,,,,,,,,,,
AS14.13,2014-03-16,,,,,,,,,,,,
AS14.15,2014-03-16,6.446666666666667,-0.7166666666666668,0.3566666666666666,0.11905875230238201,4781.893192348538,618.9586086635944,256.420291262136,985.437211062336,2967.657337223696,667.18197388316,273.03235678392,3.6332934131736523
AS14.16,2014-03-16,6.500000000000002,-0.8766666666666667,0.45666666666666667,0.11905875230238201,3874.3061924076637,544.9678086635944,256.420291262136,535.139611062336,2325.062337223696,892.4259608247401,222.24228542713604,3.2332934131736524
AS14.02,2014-03-17,6.583333333333336,-0.6433333333333333,0.5566666666666666,0.1288606848319708,4796.6501928902235,547.9706086635945,256.420291262136,686.311011062336,2411.298337223696,1238.59556082474,222.24228542713604,3.433293413173652
AS14.05,2014-03-17,6.3833333333333355,-0.47333333333333333,0.3866666666666666,0.12172303856390379,5431.394393167554,566.3700086635944,256.420291262136,827.439811062336,2321.5307372236957,1199.83757388316,222.24228542713604,2.916646706586826
AS14.08,2014-03-17,6.183333333333335,-0.2733333333333333,0.38666666666666666,0.0990223992145385,4730.951393375455,106.8084086635944,256.420291262136,784.625811062336,4624.794537223695,1435.1671608247402,222.24228542713604,2.916646706586826
AS14.13,2014-03-17,6.270000000000001,-0.13999999999999996,0.4800000000000001,0.0990223992145385,4140.7580002784725,211.9982,252.36583300970878,675.4260000000002,4138.8418,1435.1671608247402,222.24228542713604,3.6332934131736523
AS14.15,2014-03-17,6.230000000000001,0.020000000000000063,0.38000000000000006,0.0752106487540621,4067.958600282669,239.47260866359437,252.36583300970878,639.6432000000001,4889.033737223695,1435.1671608247402,273.03235678392,4.633293413173652
AS14.16,2014-03-17,6.320000000000002,-0.19999999999999993,0.4000000000000001,0.05373982290685405,2178.865399932861,221.7474086635944,252.36583300970878,403.23040000000003,4095.0009372236955,1175.8539477663203,273.03235678392,4.7499401197604785
AS14.02,2014-03-18,6.7600000000000025,6.661338147750939e-17,0.48000000000000015,0.08096259556553229,1958.594799947737,209.8374086635944,252.36583300970878,750.9360000000001,4569.284137223696,989.4781477663203,273.03235678392,7.549940119760478
AS14.05,2014-03-18,7.180000000000002,0.050000000000000065,0.6400000000000001,0.10249066568600537,3110.2622000694273,209.6252086635944,252.36583300970878,841.4150000000002,2904.198337223696,927.6297608247402,273.03235678392,8.433293413173653
