"Date,""mood"",""arousal"",""valence"",""activity"",""screentime..s."",""other..s."",""travel..s."",""buu"",""coso"""
2014-02-26,6.25,-0.25,0.75,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-02-27,6.33333333333333,0,0.333333333333333,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-04,7,0.5,2,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-05,6.33333333333333,0,0.333333333333333,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-05,8,0.666666666666667,1.33333333333333,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-06,7.2,-0.6,0.6,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-06,7.25,0.5,0.75,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-07,7.4,0.6,1.2,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-07,7.5,0.75,1,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-08,7,0,1,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-08,7.6,0.4,0.8,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-09,7.2,-1,1.2,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-09,7.2,0.8,1,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-10,6.8,-1,0.6,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-10,7.33333333333333,0.666666666666667,0.666666666666667,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-11,6.6,0.4,0.4,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-11,6.2,0,0.4,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-12,7,0.6,1,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-12,6.4,0.2,0.2,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-13,6.6,0,0.6,0.119122540322463,825.998000383377,208.855,308.017968899522,182.274,488.139
2014-03-13,7,-2,1,0.119122540322463,1252.23699998856,467.236,308.017968899522,64.527,687.487
2014-03-13,8,-0.5,1.5,0.119122540322463,206.30899977684,177.77070444243,308.017968899522,49.139,184.405
2014-03-13,7.25,0.75,0.75,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-14,8,-1,2,0.119122540322463,5622.50999903679,358.415,308.017968899522,285.728,4831.078
2014-03-14,7.4,-0.2,1.2,0.119122540322463,3377.38200068474,42.258,1277.345,793.089,1244.276
2014-03-14,7.8,0.2,1.4,0.119122540322463,7292.19600176811,1211.863,2862.415,1799.371,5835.718
2014-03-14,6.5,-0.25,0.5,0.119122540322463,243.046000242233,172.527,308.017968899522,269.401,35.161
2014-03-14,7.4,-0.4,0.75,0.119122540322463,46.0409998893738,29.064,308.017968899522,9.964,6.877
2014-03-14,8,1,1,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-15,6.2,0,0.4,0.119122540322463,8903.78200006485,174.931,308.017968899522,1026.003,7048.561
2014-03-15,6.4,-0.6,0.6,0.119122540322463,1200.81200027466,71.725,308.017968899522,68.456,963.892
2014-03-15,5.5,0,-0.5,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-15,7,0.2,0.4,0.119122540322463,4634.64099860192,1157.275,308.017968899522,2043.058,3849.574
2014-03-15,6.75,0.75,0.5,0.119122540322463,165.017000198364,177.77070444243,308.017968899522,40.433,124.345
2014-03-15,6.4,0.4,0.8,0.119122540322463,485.971000194549,10.025,308.017968899522,132.114,236.698
2014-03-16,6.33333333333333,0,0,0.119122540322463,4902.62699961663,408.106,308.017968899522,2437.046,3333.42
2014-03-16,6.33333333333333,-0.666666666666667,0,0.119122540322463,5548.0489988327,88.685,308.017968899522,473.49,4189.964
2014-03-16,7,-1.25,1.25,0.119122540322463,2440.10299992561,56.275,308.017968899522,160.349,2222.867
2014-03-16,6.4,-1,0.2,0.119122540322463,4920.90399909019,2366.203,308.017968899522,270.654,1220.631
2014-03-16,6.16666666666667,-0.666666666666667,0.333333333333333,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-16,6.6,-0.8,0.5,0.119122540322463,364.691999912262,38.152,308.017968899522,185.558,120.445
2014-03-17,6.75,0.5,0.5,0.168068414950326,10159.7690012455,103.699,308.017968899522,1229.347,4621.144
2014-03-17,6,-0.4,0.4,0.083370520962047,5613.82400131226,148.272,308.017968899522,865.993,1774.029
2014-03-17,5.4,0,0.2,0.00555555555555555,1418.6890001297,68.395,308.017968899522,56.584,12736.95
2014-03-17,6.6,0,0.8,0.119122540322463,3146.81599879265,701.473,236.148,1039.648,1441.641
2014-03-17,6.4,0,0,0,0.694999933242798,177.77070444243,308.017968899522,6.644,3907.69487054735
2014-03-17,7.2,-0.6,0.6,0.0607142857142858,714.30299949646,15.073,308.017968899522,47.283,650.98
2014-03-18,8.2,0.6,0.8,0.219484384255438,4512.47100138664,88.722,308.017968899522,2604.521,4145.445
2014-03-18,7.5,0.25,1,0.113195906157921,7177.02600073815,67.334,308.017968899522,508.979,4411.521
2014-03-18,6.4,-0.2,0.6,0.0284913617819379,1318.16999959946,47.137,308.017968899522,5.92,1120.333
2014-03-18,7,-0.2,0.8,0.119122540322463,2748.71399855614,981.155,308.017968899522,556.45,6298.983
2014-03-18,7.2,0.4,1.2,0.118737145207733,3214.6289999485,54.256,94.552,1366.137,1780.747
2014-03-18,6.6,0.4,0.6,0.0539119099263999,786.311000823975,11.054,308.017968899522,190.195,464.504
2014-03-19,6.8,0.4,0.4,0.315631756850643,8182.75700020791,105.536,567.165,1554.558,2644.804
2014-03-19,6.75,1,0.75,0.133691264926536,6095.81000113487,122.397,308.017968899522,274.29,4320.741
2014-03-19,6.8,-1,1.4,0.119122540322463,11526.8370013237,90.872,145.957,2059.8,7420.665
2014-03-19,7,-0.2,1,0.0630171632209882,1827.45999908447,64.362,308.017968899522,68.033,1666.947
2014-03-19,7.8,-0.2,1.2,0.119122540322463,15164.4039990902,4203.599,308.017968899522,790.38,9838.858
2014-03-19,7.4,0.2,1.2,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-19,6.4,0,0.6,0.00562770562770563,26.3570001125336,22.176,308.017968899522,32.349,3907.69487054735
2014-03-20,7.25,-0.5,0.75,0.239024960210347,4360.33400130272,86.857,308.017968899522,1777.977,2285.969
2014-03-20,7.2,1,0.8,0.118456799386123,4862.8659992218,157.196,308.017968899522,122.208,4486.863
2014-03-20,5.25,-0.75,-0.25,0.119122540322463,10738.8880002499,87.433,308.017968899522,1493.619,7979.57
2014-03-20,6.4,-0.2,0.8,0.0575238776758923,1096.54999947548,48.01,308.017968899522,4862.881,948.766
2014-03-20,6.4,0.8,0.2,0.287517396235884,8615.40499901772,626.924,308.017968899522,462.368,8153.821
2014-03-20,7,0.333333333333333,0.666666666666667,0.119122540322463,6081.64086900243,177.77070444243,308.017968899522,1498.21942881795,3907.69487054735
2014-03-20,7,0.6,1,0.0297619047619047,1306.61699962616,177.77070444243,308.017968899522,459.294,847.247
2014-03-20,5.66666666666667,0.666666666666667,0.333333333333333,0.0438382265359666,412.822999715805,10.029,308.017968899522,323.717,167.629
2014-03-20,7,-1,1,0.119122540322463,369.40099978447,177.77070444243,308.017968899522,757.309,53.643
2014-03-20,7,0.333333333333333,1,0.0822704081632655,6640.6430003643,355.448,308.017968899522,725.394,2789.379
2014-03-21,6.2,0.2,0.2,0.134050103989389,17978.9070000648,239.751,915.445,3737.972,10789.39
2014-03-21,7.5,-0.75,0.75,0.289627924900108,11155.8509991169,37.944,442.296,2230.303,3246.467
2014-03-21,9,1,2,0.119122540322463,1664.95400094986,543.588,308.017968899522,168.055,1724.739
2014-03-21,7.25,0,1,0.0501977228988561,3032.31899952889,53.848,308.017968899522,393.794,2267.379
2014-03-21,7,0.333333333333333,1,0.119122540322463,17950.1330001354,90.276,164.604,929.139,5800.772
2014-03-21,6.6,-0.4,0.6,0.00894230236465267,2857.9249997139,52.181,308.017968899522,264.18,3562.603
2014-03-21,7,0,1,0.119122540322463,3007.83399891853,216.908,308.017968899522,31.327,1221.081
2014-03-21,6.4,0.6,0.6,0.0846487121915734,12928.4999980927,109.863,47.006,144.126,14286.479
2014-03-21,6.4,-0.6,0.4,0.173385566420331,10506.8989992142,3858.509,63.638,2765.003,4339.425
2014-03-21,7,0.2,0.8,0.0692239858906525,820.119999885559,14.117,308.017968899522,960.108,195.22
2014-03-21,6.8,1,1,0.060560360921981,285.03099989891,177.77070444243,308.017968899522,103.69,249.509
2014-03-21,7.4,0.8,1,0.167974428454457,5228.51399946212,45.162,308.017968899522,19292.022,8600.082
2014-03-21,4.66666666666667,0.666666666666667,0.666666666666667,0.109655017921147,6933.05800008774,117.069,308.017968899522,1992.576,4911.126
2014-03-21,7,0.25,0.25,0.119122540322463,30.0939998626709,177.77070444243,308.017968899522,30.088,3907.69487054735
2014-03-21,7.8,-0.4,1.2,0.212259468114731,9825.66399931907,468.773,308.017968899522,1094.161,4794.242
2014-03-22,6.4,0.6,0.5,0.236880219239958,6142.16099953651,98.143,37.305,849.05,5402.55
2014-03-22,6.5,-1,-0.5,0.446043686832901,7589.56200289727,43.204,780.617,1930.266,2260.923
2014-03-22,7.8,0.8,1,0.191388308645086,2643.53700041771,89.216,168.545,486.438,458.495
2014-03-22,3.75,-2,-1,0.0185609923352062,1806.17999958992,118.051,308.017968899522,20.077,1098.569
2014-03-22,6,-0.4,0,0.119122540322463,11019.821000576,357.72,614.246,639.624,7704.029
2014-03-22,6.4,-0.4,0.8,0.0222314544523495,866.594000339508,43.157,89.938,26.632,4781.779
2014-03-22,7,0,0.666666666666667,0.0628472222222222,4706.24100065231,147.031,193.317,150.063,2809.623
2014-03-22,8.4,1.4,1.6,0.0939734996186608,12328.1569998264,355.851,308.017968899522,925.617,9169.201
2014-03-22,5.8,-0.6,0,0.0960004667169809,12238.1670000553,1110.389,308.017968899522,5765.477,6713.84
